日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-15,54524,2284,5013.45,0.04189,2.20,91.95,0.00,0,0.00,0,0.00,0,10985.00,0.00,10985.00,65,65,0,0.02846,2.19,2.19,77.13,575,575,0,0.25175,118,4,1253.36,697,7.19,693,7.23,122,42.49,0.05166,8.72,65,12905.00,118,0,0,0,0.00,15,6473,3792,3341,0.88107,0,0,0.11872,2064,2,63,0.98438,0,0.00,0,64,1,171.64,360.41,2167,150.00,5070.00,1,30
2026-06-14,65277,2820,6184.46,0.0432,2.19,94.74,0.00,0,0.00,0,0.00,0,26871.00,0.00,26871.00,158,158,0,0.05603,4.34,4.34,39.14,784,779,5,0.27801,115,10,618.45,909,6.80,899,6.88,125,53.78,0.04078,7.89,165,33034.00,115,0,0,0,0.00,38,10430,6102,5361,0.87856,0,0,0.15978,3159,2,155,1,0,0.00,0,155,1,173.36,839.06,4815,462.00,14703.00,1,87
2026-06-13,61875,2582,5632.50,0.04173,2.18,91.03,0.00,0,0.00,0,0.00,0,26195.00,0.00,26195.00,151,151,0,0.05848,4.65,4.65,37.30,658,658,0,0.25484,115,3,1877.50,776,7.26,773,7.29,118,48.98,0.04454,8.56,153,31213.00,115,0,0,0,0.00,48,10145,6124,5372,0.8772,0,0,0.16396,2883,2,146,1,0,0.00,0,146,1,179.42,875.56,5105,299.00,9464.00,1,54
2026-06-12,47733,1857,4239.08,0.0389,2.28,88.81,0.00,0,0.00,0,0.00,0,20449.00,0.00,20449.00,115,115,0,0.06193,4.82,4.82,36.86,414,413,1,0.22294,64,6,706.51,484,8.76,478,8.87,70,66.24,0.03446,10.24,118,24646.00,64,0,0,0,0.00,32,7597,4737,4058,0.85666,0,0,0.15916,1969,2,110,0.98214,0,0.00,0,112,1,182.58,269.02,4227,410.00,11661.00,1,64
2026-06-11,244585,2156,4166.03,0.00881,1.93,17.03,0.00,0,0.00,0,0.00,0,11492.00,0.00,11492.00,65,65,0,0.03015,2.76,2.76,64.09,316,314,2,0.14657,70,2,2083.02,388,10.74,386,10.79,72,59.51,0.03247,13.18,69,14328.00,70,0,0,0,0.00,28,5407,3365,2870,0.8529,0,0,0.02211,1467,2,62,1,0,0.00,0,62,1,185.35,163.28,3662,249.00,6929.00,1,39
2026-06-10,71645,1866,4143.88,0.02605,2.22,57.84,0.00,0,0.00,0,0.00,0,15041.00,0.00,15041.00,87,87,0,0.04662,3.63,3.63,47.63,397,395,2,0.21275,75,1,4143.88,473,8.76,472,8.78,76,55.25,0.04019,10.44,94,19074.00,74,1,0,0,0.00,35,6591,4031,3270,0.81121,0,0,0.092,1674,2,83,0.9881,0,0.00,0,84,1,179.06,205.20,5019,450.00,10816.00,1,63
2026-06-09,39879,1818,4041.23,0.04559,2.22,101.34,0.00,0,0.00,0,0.00,0,18083.00,0.00,18083.00,103,103,0,0.05666,4.47,4.47,39.24,419,415,4,0.23047,86,4,1010.31,509,7.94,505,8.00,90,46.99,0.0473,9.64,108,22288.00,85,1,0,0,0.00,62,6843,3977,3195,0.80337,0,0,0.17159,1917,2,100,1,0,0.00,0,100,1,180.83,658.20,4958,419.00,11492.00,1,64
