日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-16,66153,2558,6207.87,0.03867,2.43,93.84,0.00,0,0.00,0,0.00,0,17745.00,129.00,17874.00,106,105,1,0.04144,2.88,2.88,58.56,711,707,4,0.27795,116,5,1241.57,832,7.46,827,7.51,121,53.52,0.04535,8.73,110,21820.00,114,2,0,0,0.00,33,6903,3793,3191,0.84129,0,0,0.10435,2494,2,104,1,0,0.00,0,104,1,171.87,501.82,2990,261.00,8619.00,1,50
2026-06-15,54524,2284,5013.45,0.04189,2.20,91.95,0.00,0,0.00,0,0.00,0,14703.00,0.00,14703.00,87,87,0,0.03809,2.93,2.93,57.63,580,579,1,0.25394,120,5,1002.69,705,7.11,700,7.16,125,41.78,0.05254,8.64,87,17253.00,120,0,0,0,0.00,16,6544,3807,3345,0.87864,0,0,0.12002,2064,2,84,0.98824,0,0.00,0,85,1,172.98,477.32,3077,198.00,6591.00,1,39
2026-06-14,65277,2820,6184.46,0.0432,2.19,94.74,0.00,0,0.00,0,0.00,0,30251.00,0.00,30251.00,175,175,0,0.06206,4.89,4.89,35.34,784,779,5,0.27801,115,11,562.22,910,6.80,899,6.88,126,53.78,0.04078,7.89,182,37014.00,115,0,0,0,0.00,46,10488,6108,5361,0.8777,0,0,0.16067,3159,2,172,1,0,0.00,0,172,1,175.88,942.43,5765,517.00,16900.00,1,98
2026-06-13,61875,2582,5632.50,0.04173,2.18,91.03,0.00,0,0.00,0,0.00,0,27547.00,0.00,27547.00,159,159,0,0.06158,4.89,4.89,35.42,660,660,0,0.25562,116,3,1877.50,779,7.23,776,7.26,119,48.56,0.04493,8.53,161,32805.00,116,0,0,0,0.00,62,10181,6126,5372,0.87692,0,0,0.16454,2883,2,153,1,0,0.00,0,153,1,180.05,936.10,5941,335.00,10478.00,1,60
2026-06-12,47733,1857,4239.08,0.0389,2.28,88.81,0.00,0,0.00,0,0.00,0,21632.00,0.00,21632.00,122,122,0,0.0657,5.10,5.10,34.75,416,415,1,0.22402,64,6,706.51,486,8.72,480,8.83,70,66.24,0.03446,10.19,125,26039.00,64,0,0,0,0.00,35,7613,4739,4058,0.8563,0,0,0.15949,1969,2,116,0.98305,0,0.00,0,118,1,183.32,305.40,4702,430.00,12337.00,1,68
2026-06-11,244585,2156,4166.03,0.00881,1.93,17.03,0.00,0,0.00,0,0.00,0,12506.00,0.00,12506.00,71,71,0,0.03293,3.00,3.00,58.68,318,316,2,0.1475,70,2,2083.02,390,10.68,388,10.74,72,59.51,0.03247,13.10,75,15522.00,70,0,0,0,0.00,32,5413,3365,2870,0.8529,0,0,0.02213,1467,2,67,1,0,0.00,0,67,1,186.66,196.91,4074,259.00,7267.00,1,41
2026-06-10,71645,1866,4143.88,0.02605,2.22,57.84,0.00,0,0.00,0,0.00,0,15548.00,0.00,15548.00,90,90,0,0.04823,3.75,3.75,46.04,397,395,2,0.21275,75,1,4143.88,473,8.76,472,8.78,76,55.25,0.04019,10.44,97,19671.00,74,1,0,0,0.00,39,6600,4031,3270,0.81121,0,0,0.09212,1674,2,86,0.98851,0,0.00,0,87,1,178.71,225.68,5371,455.00,10985.00,1,64
