日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-22,85595,2927,5147.49,0.0342,1.76,60.14,0.00,0,0.00,0,0.00,0,13888.00,129.00,14017.00,82,81,1,0.02802,2.72,2.72,62.77,651,649,2,0.22241,135,2,2573.75,788,6.53,786,6.55,137,38.13,0.04612,7.91,84,17044.00,134,1,0,0,0.00,28,8297,4516,3755,0.83149,0,0,0.09693,2889,2,80,1,0,0.00,0,80,1,175.21,0.00,2985,437.00,9464.00,1,54
2026-06-21,76991,3221,7327.25,0.04184,2.27,95.17,0.00,0,0.00,0,0.00,0,30480.00,129.00,30609.00,171,170,1,0.05309,4.18,4.18,42.85,758,753,5,0.23533,132,9,814.14,899,8.15,890,8.23,141,55.51,0.04098,9.67,176,36914.00,132,0,0,0,0.00,26,12587,8026,7036,0.87665,0,0,0.16349,3352,2,166,1,0,0.00,0,166,1,184.39,332.70,5154,632.00,18083.00,1,97
2026-06-20,67907,2856,7343.95,0.04206,2.57,108.15,0.00,0,0.00,0,0.00,0,31265.00,0.00,31265.00,176,176,0,0.06162,4.26,4.26,41.73,649,646,3,0.22724,114,4,1835.99,767,9.57,763,9.63,118,64.42,0.03992,11.32,181,37720.00,114,0,0,0,0.00,48,11138,6775,5960,0.8797,0,0,0.16402,3222,2,173,0.99425,0,0.00,0,174,1,179.68,395.10,5177,826.00,19266.00,1,107
2026-06-19,73905,3035,7469.18,0.04107,2.46,101.06,0.00,0,0.00,0,0.00,0,32816.00,0.00,32816.00,189,189,0,0.06227,4.39,4.39,39.52,782,781,1,0.25766,153,5,1493.84,940,7.95,935,7.99,158,48.82,0.05041,9.55,196,39969.00,152,1,0,0,0.00,55,10916,6449,5594,0.86742,0,0,0.1477,3301,2,185,0.9893,0,0.00,0,187,1,175.49,298.10,6185,711.00,19266.00,1,112
2026-06-18,55920,2242,6816.97,0.04009,3.04,121.91,0.00,0,0.00,0,0.00,0,29744.00,0.00,29744.00,172,172,0,0.07672,4.36,4.36,39.63,549,548,1,0.24487,94,6,1136.16,649,10.50,643,10.60,100,72.52,0.04193,12.42,180,36616.00,94,0,0,0,0.00,56,8054,4528,3869,0.85446,0,0,0.14403,2511,2,167,0.99405,0,0.00,0,168,1,177.05,488.93,5417,503.00,15379.00,1,88
2026-06-17,62459,2464,6557.01,0.03945,2.66,104.98,0.00,0,0.00,0,0.00,0,31603.00,0.00,31603.00,177,177,0,0.07183,4.82,4.82,37.05,611,607,4,0.24797,109,6,1092.84,726,9.03,720,9.11,115,60.16,0.04424,10.73,184,38606.00,109,0,0,0,0.00,75,7858,4464,3649,0.81743,0,0,0.12581,2364,2,173,1,0,0.00,0,173,1,182.68,535.44,6778,815.00,19097.00,1,108
