日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-24,76235,2354,4486.43,0.03088,1.91,58.85,0.00,0,0.00,0,0.00,0,9802.00,0.00,9802.00,57,57,0,0.02421,2.18,2.18,78.71,447,447,0,0.18989,99,1,4486.43,547,8.20,546,8.22,100,45.32,0.04206,10.04,61,12308.00,99,0,0,0,0.00,17,7986,4868,4184,0.85949,0,0,0.10476,2288,2,57,1,0,0.00,0,57,1,171.96,0.00,2557,155.00,3718.00,1,22
2026-06-23,112405,3137,4880.91,0.02791,1.56,43.42,0.00,0,0.00,0,0.00,0,11323.00,129.00,11452.00,68,67,1,0.02168,2.35,2.35,71.78,602,601,1,0.1919,106,5,976.18,713,6.85,708,6.89,111,46.05,0.03379,8.11,73,14457.00,106,0,0,0,0.00,27,7861,4359,3522,0.80798,0,0,0.06993,2729,2,68,1,0,0.00,0,68,1,168.41,145.52,4036,200.00,6253.00,1,37
2026-06-22,85595,2927,5147.49,0.0342,1.76,60.14,0.00,0,0.00,0,0.00,0,16930.00,129.00,17059.00,99,98,1,0.03382,3.31,3.31,51.99,654,652,2,0.22344,136,2,2573.75,792,6.50,790,6.52,138,37.85,0.04646,7.87,102,20825.00,135,1,0,0,0.00,38,8386,4532,3757,0.82899,0,0,0.09797,2889,2,96,0.98969,0,0.00,0,97,1,175.87,34.51,5598,510.00,11492.00,1,65
2026-06-21,76991,3221,7327.25,0.04184,2.27,95.17,0.00,0,0.00,0,0.00,0,30818.00,129.00,30947.00,173,172,1,0.05371,4.22,4.22,42.35,760,755,5,0.23595,134,9,814.14,903,8.11,894,8.20,143,54.68,0.0416,9.64,178,37312.00,134,0,0,0,0.00,48,12655,8034,7037,0.8759,0,0,0.16437,3352,2,167,1,0,0.00,0,167,1,185.31,346.79,7253,632.00,18083.00,1,97
2026-06-20,67907,2856,7343.95,0.04206,2.57,108.15,0.00,0,0.00,0,0.00,0,31603.00,0.00,31603.00,178,178,0,0.06232,4.30,4.30,41.26,650,647,3,0.22759,115,4,1835.99,769,9.55,765,9.60,119,63.86,0.04027,11.30,183,38118.00,115,0,0,0,0.00,71,11190,6779,5960,0.87919,0,0,0.16478,3222,2,175,0.99432,0,0.00,0,176,1,179.56,407.57,6706,831.00,19435.00,1,108
2026-06-19,73905,3035,7469.18,0.04107,2.46,101.06,0.00,0,0.00,0,0.00,0,33323.00,0.00,33323.00,192,192,0,0.06326,4.46,4.46,38.90,782,781,1,0.25766,153,5,1493.84,940,7.95,935,7.99,158,48.82,0.05041,9.55,199,40566.00,152,1,0,0,0.00,78,10957,6452,5594,0.86702,0,0,0.14826,3301,2,187,0.98942,0,0.00,0,189,1,176.31,304.52,7508,719.00,19435.00,1,113
2026-06-18,55920,2242,6816.97,0.04009,3.04,121.91,0.00,0,0.00,0,0.00,0,29744.00,0.00,29744.00,172,172,0,0.07672,4.36,4.36,39.63,549,548,1,0.24487,95,6,1136.16,650,10.49,644,10.59,101,71.76,0.04237,12.42,180,36616.00,95,0,0,0,0.00,64,8069,4528,3869,0.85446,0,0,0.1443,2511,2,167,0.99405,0,0.00,0,168,1,177.05,491.68,6193,503.00,15379.00,1,88
