商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-301192978021098,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-08 13:31:36,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000209042,快捷快物流,2026-06-08 11:16:06,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-318609845861570,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-08 13:31:36,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000209043,快捷快物流,2026-06-08 11:12:49,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-474218566073801,已发货，待收货,168.99	,0.0	,0.0	,42.24	,0.0	,126.75	,168.99	,1	,2026-06-08 13:31:36,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000209044,快捷快物流,2026-06-08 10:34:29,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-570435868193356,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-08 09:46:05,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206864,快捷快物流,2026-06-08 06:16:44,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-214014421291361,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-08 09:46:05,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206865,快捷快物流,2026-06-08 04:51:31,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-165045942680849,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-08 09:46:05,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206866,快捷快物流,2026-06-08 04:51:20,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-522421563001913,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-08 09:46:05,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206867,快捷快物流,2026-06-08 02:58:31,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-473222398383435,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-08 09:46:06,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206869,快捷快物流,2026-06-08 00:13:19,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-515710697840274,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-08 09:46:06,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206870,快捷快物流,2026-06-07 23:28:38,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-158817328721478,已发货，待收货,168.99	,0.0	,0.0	,16.89	,0.0	,152.1	,168.99	,1	,2026-06-08 10:00:57,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206973,快捷快物流,2026-06-07 22:47:36,否,,	,
