日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-19,73905,3035,7469.18,0.04107,2.46,101.06,0.00,0,0.00,0,0.00,0,25857.00,0.00,25857.00,150,150,0,0.04942,3.46,3.46,49.79,772,771,1,0.25437,144,5,1493.84,921,8.11,916,8.15,149,51.87,0.04745,9.68,155,31412.00,143,1,0,0,0.00,30,10753,6412,5592,0.87211,0,0,0.1455,3301,2,146,0.98649,0,0.00,0,148,1,174.71,151.46,3001,574.00,15886.00,1,93
2026-06-18,55920,2242,6816.97,0.04009,3.04,121.91,0.00,0,0.00,0,0.00,0,26533.00,0.00,26533.00,153,153,0,0.06824,3.89,3.89,44.56,547,546,1,0.24398,94,6,1136.16,647,10.54,641,10.63,100,72.52,0.04193,12.46,160,32636.00,94,0,0,0,0.00,23,7971,4518,3869,0.85635,0,0,0.14254,2511,2,148,0.99329,0,0.00,0,149,1,178.07,415.86,3631,445.00,14027.00,1,80
2026-06-17,62459,2464,6557.01,0.03945,2.66,104.98,0.00,0,0.00,0,0.00,0,28054.00,0.00,28054.00,160,160,0,0.06494,4.28,4.28,40.98,605,601,4,0.24554,109,6,1092.84,720,9.11,714,9.18,115,60.16,0.04424,10.84,167,34427.00,109,0,0,0,0.00,37,7784,4459,3649,0.81834,0,0,0.12463,2364,2,156,1,0,0.00,0,156,1,179.83,463.26,4860,754.00,17238.00,1,100
2026-06-16,66153,2558,6207.87,0.03867,2.43,93.84,0.00,0,0.00,0,0.00,0,26364.00,129.00,26493.00,156,155,1,0.06099,4.27,4.27,39.79,719,715,4,0.28108,123,5,1241.57,847,7.33,842,7.37,128,50.47,0.04808,8.63,162,32337.00,121,2,0,0,0.00,59,7072,3825,3192,0.83451,0,0,0.1069,2494,2,153,1,0,0.00,0,153,1,173.16,652.89,5412,467.00,14027.00,1,81
2026-06-15,54524,2284,5013.45,0.04189,2.20,91.95,0.00,0,0.00,0,0.00,0,17914.00,0.00,17914.00,104,104,0,0.04553,3.57,3.57,48.21,582,581,1,0.25482,123,5,1002.69,710,7.06,705,7.11,128,40.76,0.05385,8.61,105,21233.00,123,0,0,0,0.00,31,6624,3816,3345,0.87657,0,0,0.12149,2064,2,100,0.9901,0,0.00,0,101,1,177.37,524.81,4394,242.00,7943.00,1,46
2026-06-14,65277,2820,6184.46,0.0432,2.19,94.74,0.00,0,0.00,0,0.00,0,34476.00,0.00,34476.00,200,200,0,0.07092,5.57,5.57,30.92,791,786,5,0.2805,117,12,515.37,920,6.72,908,6.81,129,52.86,0.04149,7.82,207,41989.00,117,0,0,0,0.00,73,10571,6115,5361,0.8767,0,0,0.16194,3159,2,196,1,0,0.00,0,196,1,175.90,1018.54,8039,596.00,19266.00,1,112
2026-06-13,61875,2582,5632.50,0.04173,2.18,91.03,0.00,0,0.00,0,0.00,0,30082.00,0.00,30082.00,174,174,0,0.06739,5.34,5.34,32.37,666,666,0,0.25794,116,3,1877.50,785,7.18,782,7.20,119,48.56,0.04493,8.46,176,35790.00,116,0,0,0,0.00,88,10264,6133,5372,0.87592,0,0,0.16588,2883,2,166,1,0,0.00,0,166,1,181.22,978.42,7467,382.00,11661.00,1,67
