日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-13,61875,2582,5632.50,0.04173,2.18,91.03,0.00,0,0.00,0,0.00,0,19773.00,0.00,19773.00,113,113,0,0.04376,3.51,3.51,49.85,655,655,0,0.25368,113,3,1877.50,771,7.31,768,7.33,116,49.85,0.04376,8.60,115,23651.00,113,0,0,0,0.00,32,10042,6104,5371,0.87991,0,0,0.16229,2883,2,109,1,0,0.00,0,109,1,181.40,654.43,3180,218.00,7436.00,1,42
2026-06-12,47733,1857,4239.08,0.0389,2.28,88.81,0.00,0,0.00,0,0.00,0,18083.00,0.00,18083.00,101,101,0,0.05439,4.27,4.27,41.97,411,410,1,0.22132,60,6,706.51,477,8.89,471,9.00,66,70.65,0.03231,10.31,104,21860.00,60,0,0,0,0.00,18,7557,4731,4058,0.85775,0,0,0.15832,1969,2,96,0.97959,0,0.00,0,98,1,184.52,187.81,3232,387.00,10985.00,1,60
2026-06-11,244585,2156,4166.03,0.00881,1.93,17.03,0.00,0,0.00,0,0.00,0,10985.00,0.00,10985.00,63,63,0,0.02922,2.64,2.64,66.13,315,313,2,0.1461,69,2,2083.02,386,10.79,384,10.85,71,60.38,0.032,13.23,67,13731.00,69,0,0,0,0.00,18,5379,3360,2870,0.85417,0,0,0.02199,1467,2,60,1,0,0.00,0,60,1,183.08,149.59,3075,249.00,6929.00,1,39
2026-06-10,71645,1866,4143.88,0.02605,2.22,57.84,0.00,0,0.00,0,0.00,0,13858.00,0.00,13858.00,80,80,0,0.04287,3.34,3.34,51.80,397,395,2,0.21275,75,1,4143.88,473,8.76,472,8.78,76,55.25,0.04019,10.44,87,17681.00,74,1,0,0,0.00,30,6563,4028,3270,0.81182,0,0,0.0916,1674,2,77,0.98718,0,0.00,0,78,1,177.67,169.79,4390,435.00,10309.00,1,60
2026-06-09,39879,1818,4041.23,0.04559,2.22,101.34,0.00,0,0.00,0,0.00,0,17238.00,0.00,17238.00,98,98,0,0.05391,4.27,4.27,41.24,418,414,4,0.22992,86,4,1010.31,508,7.96,504,8.02,90,46.99,0.0473,9.67,103,21293.00,85,1,0,0,0.00,55,6808,3972,3195,0.80438,0,0,0.17072,1917,2,95,1,0,0.00,0,95,1,181.45,630.79,4408,401.00,10985.00,1,61
2026-06-08,47333,1914,4148.76,0.04044,2.17,87.65,0.00,0,0.00,0,0.00,0,19435.00,0.00,19435.00,109,109,0,0.05695,4.68,4.68,38.06,455,452,3,0.23772,83,0,,538,7.71,538,7.71,83,49.99,0.04336,9.12,116,24278.00,83,0,0,0,0.00,44,7880,4707,3844,0.81666,0,0,0.16648,2263,2,104,1,0,0.00,0,104,1,186.88,472.15,4397,544.00,13351.00,1,74
2026-06-07,33726,1624,3723.30,0.04815,2.29,110.40,0.00,0,0.00,0,0.00,0,19604.00,0.00,19604.00,112,112,0,0.06897,5.27,5.27,33.24,434,431,3,0.26724,69,5,744.66,508,7.33,503,7.40,74,53.96,0.04249,8.58,116,23820.00,69,0,0,0,0.00,50,7509,4501,3834,0.85181,0,0,0.22265,2070,2,110,1,0,0.00,0,110,1,178.22,329.99,4288,594.00,13689.00,1,76
