日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-11,244585,2156,4166.03,0.00881,1.93,17.03,0.00,0,0.00,0,0.00,0,9126.00,0.00,9126.00,52,52,0,0.02412,2.19,2.19,80.12,312,310,2,0.14471,69,2,2083.02,383,10.88,381,10.93,71,60.38,0.032,13.35,55,11343.00,69,0,0,0,0.00,14,5334,3349,2869,0.85667,0,0,0.02181,1467,2,52,1,0,0.00,0,52,1,175.50,125.63,2260,210.00,5915.00,1,33
2026-06-10,71645,1866,4143.88,0.02605,2.22,57.84,0.00,0,0.00,0,0.00,0,12675.00,0.00,12675.00,73,73,0,0.03912,3.06,3.06,56.77,394,392,2,0.21115,74,1,4143.88,469,8.84,468,8.85,75,56.00,0.03966,10.52,80,16288.00,73,1,0,0,0.00,18,6514,4021,3270,0.81323,0,0,0.09092,1674,2,70,0.98592,0,0.00,0,71,1,178.52,149.04,3490,388.00,9126.00,1,53
2026-06-09,39879,1818,4041.23,0.04559,2.22,101.34,0.00,0,0.00,0,0.00,0,15041.00,0.00,15041.00,86,86,0,0.0473,3.72,3.72,46.99,414,410,4,0.22772,86,4,1010.31,504,8.02,500,8.08,90,46.99,0.0473,9.76,91,18706.00,85,1,0,0,0.00,37,6734,3969,3195,0.80499,0,0,0.16886,1917,2,83,1,0,0.00,0,83,1,181.22,592.95,3522,365.00,9802.00,1,55
2026-06-08,47333,1914,4148.76,0.04044,2.17,87.65,0.00,0,0.00,0,0.00,0,18252.00,0.00,18252.00,102,102,0,0.05329,4.40,4.40,40.67,451,448,3,0.23563,83,0,,534,7.77,534,7.77,83,49.99,0.04336,9.20,108,22686.00,83,0,0,0,0.00,35,7856,4702,3844,0.81752,0,0,0.16597,2263,2,97,1,0,0.00,0,97,1,188.16,443.23,3663,526.00,12844.00,1,71
2026-06-07,33726,1624,3723.30,0.04815,2.29,110.40,0.00,0,0.00,0,0.00,0,18421.00,0.00,18421.00,105,105,0,0.06466,4.95,4.95,35.46,432,429,3,0.26601,69,5,744.66,506,7.36,501,7.43,74,53.96,0.04249,8.62,109,22427.00,69,0,0,0,0.00,38,7476,4500,3834,0.852,0,0,0.22167,2070,2,103,1,0,0.00,0,103,1,178.84,311.67,3475,563.00,12844.00,1,71
2026-06-06,38361,1616,3642.97,0.04213,2.25,94.97,0.00,0,0.00,0,0.00,0,19097.00,0.00,19097.00,106,106,0,0.06559,5.24,5.24,34.37,406,406,0,0.25124,78,5,728.59,489,7.45,484,7.53,83,46.70,0.04827,8.97,111,23452.00,78,0,0,0,0.00,36,6966,4281,3587,0.83789,0,0,0.18159,1791,2,103,1,0,0.00,0,103,1,185.41,270.79,3523,313.00,8788.00,1,49
2026-06-05,31536,1379,3160.89,0.04373,2.29,100.23,0.00,0,0.00,0,0.00,0,13858.00,0.00,13858.00,81,81,0,0.05874,4.38,4.38,39.02,370,370,0,0.26831,65,3,1053.63,438,7.22,435,7.27,68,48.63,0.04714,8.54,87,17512.00,64,1,0,0,0.00,34,6543,3823,3267,0.85456,0,0,0.20748,1832,2,78,1,0,0.00,0,78,1,177.67,266.19,3312,136.00,3549.00,1,20
