日期,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-17,62459,2464,6557.01,0.03945,2.66,104.98,0.00,0,0.00,0,0.00,0,31434.00,0.00,31434.00,181,181,0,0.07346,4.79,4.79,36.23,603,600,3,0.24472,113,6,1092.84,722,9.08,716,9.16,119,58.03,0.04586,10.87,189,38606.00,113,0,0,0,0.00,73,7868,4618,3663,0.7932,0,0,0.12597,2364,2,179,1,0,0.00,0,179,1,175.61,344.47,3098,886.00,19435.00,1,112
2026-06-16,66153,2558,6207.87,0.03867,2.43,93.84,0.00,0,0.00,0,0.00,0,30589.00,129.00,30718.00,179,178,1,0.06998,4.95,4.95,34.68,726,721,5,0.28382,123,8,775.98,857,7.24,849,7.31,131,50.47,0.04808,8.55,183,36914.00,121,2,0,0,0.00,75,7134,3946,3217,0.81526,0,0,0.10784,2494,2,175,1,0,0.00,0,175,1,175.53,587.62,4085,468.00,15548.00,1,89
2026-06-15,54524,2284,5013.45,0.04189,2.20,91.95,0.00,0,0.00,0,0.00,0,21970.00,0.00,21970.00,128,128,0,0.05604,4.38,4.38,39.17,591,590,1,0.25876,123,4,1253.36,718,6.98,714,7.02,127,40.76,0.05385,8.48,129,26039.00,123,0,0,0,0.00,67,6723,3962,3361,0.84831,0,0,0.1233,2064,2,125,0.99206,0,0.00,0,126,1,174.37,500.46,3594,270.00,9126.00,1,54
2026-06-14,65277,2820,6184.46,0.0432,2.19,94.74,0.00,0,0.00,0,0.00,0,30589.00,0.00,30589.00,180,180,0,0.06383,4.95,4.95,34.36,786,782,4,0.27872,120,10,618.45,916,6.75,906,6.83,130,51.54,0.04255,7.87,186,37183.00,120,0,0,0,0.00,70,10527,6233,5372,0.86186,0,0,0.16127,3159,2,178,1,0,0.00,0,178,1,171.85,974.66,6606,502.00,15041.00,1,89
2026-06-13,61875,2582,5632.50,0.04173,2.18,91.03,0.00,0,0.00,0,0.00,0,26364.00,0.00,26364.00,151,151,0,0.05848,4.68,4.68,37.30,669,669,0,0.2591,115,3,1877.50,787,7.16,784,7.18,118,48.98,0.04454,8.42,153,31412.00,115,0,0,0,0.00,72,10232,6241,5383,0.86252,0,0,0.16537,2883,2,147,1,0,0.00,0,147,1,179.35,950.27,6539,327.00,10985.00,1,62
2026-06-12,47733,1857,4239.08,0.0389,2.28,88.81,0.00,0,0.00,0,0.00,0,20618.00,0.00,20618.00,116,116,0,0.06247,4.86,4.86,36.54,418,417,1,0.22509,61,6,706.51,485,8.74,479,8.85,67,69.49,0.03285,10.14,121,25243.00,61,0,0,0,0.00,61,7660,4822,4070,0.84405,0,0,0.16048,1969,2,110,0.98214,0,0.00,0,112,1,184.09,319.54,5122,477.00,13013.00,1,72
2026-06-11,244585,2156,4166.03,0.00881,1.93,17.03,0.00,0,0.00,0,0.00,0,15379.00,0.00,15379.00,89,89,0,0.04128,3.69,3.69,46.81,319,317,2,0.14796,70,2,2083.02,391,10.65,389,10.71,72,59.51,0.03247,13.06,93,18905.00,69,1,0,0,0.00,49,5504,3463,2875,0.83021,0,0,0.0225,1467,2,88,1,0,0.00,0,88,1,174.76,204.59,4345,366.00,9464.00,1,54
